Material: Volume;Material: Name
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,73 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,20 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,67 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,15 m³;Precast sandwich_wall_Type 3 300/200_RDK
0,95 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
6,03 m³;WAL_Precast-Exterior-120_RDK
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
8,63 m³;Precast sandwich_wall_Type1 450_RDK
5,79 m³;WAL_Precast-Interior-400_RDK
4,54 m³;WAL_Precast-Interior-400_RDK
5,12 m³;WAL_Precast-Interior-400_RDK
7,80 m³;Precast sandwich_wall_Type4 670_RDK
11,51 m³;Precast sandwich_wall_Type4 670_RDK
3,83 m³;WAL_Precast-Interior-250_RDK
5,87 m³;WAL_Precast-Interior-250_RDK
21,47 m³;WAL_Precast-Interior-300_RDK
5,02 m³;WAL_Precast-Interior-400_RDK
6,03 m³;WAL_Precast-Interior-300_RDK
1,62 m³;WAL_Precast-Interior-300_RDK
2,82 m³;Precast sandwich_wall_Type1 450_RDK
3,67 m³;Precast sandwich_wall_Type1 450_RDK
3,22 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,73 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,20 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,15 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,60 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
6,38 m³;WAL_Precast-Exterior-120_RDK
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
7,99 m³;Precast sandwich_wall_Type1 450_RDK
5,41 m³;WAL_Precast-Interior-400_RDK
8,98 m³;WAL_Precast-Interior-400_RDK
4,83 m³;WAL_Precast-Interior-400_RDK
3,51 m³;WAL_Precast-Interior-250_RDK
5,55 m³;WAL_Precast-Interior-250_RDK
4,82 m³;WAL_Precast-Interior-400_RDK
5,70 m³;WAL_Precast-Interior-300_RDK
1,48 m³;WAL_Precast-Interior-300_RDK
